  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
  16.14395  16.14400      2.00   3220246     30122
  16.14372  16.14370      2.00   3224442     30864
  16.14349  16.14340      2.00   3227426     31593
  16.14325  16.14330      2.00   3234944     31826
  16.14302  16.14300      2.00   3227619     32765
  16.14279  16.14280      2.00   3219381     33265
  16.14255  16.14260      2.00   3216853     34074
  16.14232  16.14230      2.00   3212975     34856
  16.14209  16.14220      2.00   3207867     35195
  16.14185  16.14180      2.00   3205769     36522
  16.14162  16.14170      2.00   3206773     36626
  16.14139  16.14140      2.00   3208490     37751
  16.14115  16.14110      2.00   3202133     38454
  16.14092  16.14090      2.00   3201333     39031
  16.14069  16.14070      2.00   3193344     39916
  16.14046  16.14040      2.00   3198765     41010
  16.14022  16.14020      2.00   3199090     41809
  16.13999  16.14000      2.00   3204088     42840
  16.13976  16.13980      2.00   3198303     44328
  16.13952  16.13950      2.00   3196780     45757
  16.13929  16.13920      2.00   3185958     47125
  16.13906  16.13910      2.00   3176925     47562
  16.13882  16.13880      2.00   3188310     49548
  16.13859  16.13860      2.00   3201802     51182
  16.13836  16.13830      2.00   3209786     52235
  16.13812  16.13820      2.00   3208490     52747
  16.13789  16.13790      2.00   3204787     53386
  16.13766  16.13770      2.00   3203784     54204
  16.13742  16.13740      2.00   3200117     54243
  16.13719  16.13720      2.00   3186366     53289
  16.13696  16.13710      2.00   3192670     53057
  16.13673  16.13670      2.00   3192949     51348
  16.13649  16.13660      2.00   3194721     50550
  16.13626  16.13620      2.00   3191707     48547
  16.13603  16.13600      2.00   3189268     47508
  16.13579  16.13580      2.00   3186186     45965
  16.13556  16.13560      2.00   3186020     44598
  16.13533  16.13520      2.00   3184368     42970
  16.13509  16.13510      2.00   3183894     42280
  16.13486  16.13480      2.00   3184949     41235
  16.13463  16.13460      2.00   3184225     40701
  16.13440  16.13440      2.00   3181281     39954
