#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
11109.487591285872 1515268 1468325 0.03147002567152096 1468325 68694 3.062215715147436
11109.976930534734 1515541 1468506 0.03152691347737564 1468506 70188 3.0408234801832776
11110.488379256572 1515520 1468426 0.03156753556250872 1468426 71349 3.0243630294052983
11110.964439367363 1515524 1468521 0.03150548188724023 1468521 72041 3.0147756494543247
11111.502065132854 1515421 1468448 0.03148722739947372 1468448 72846 3.0036137159392213
11111.96484215777 1514769 1467959 0.03138995144129112 1467959 74073 2.9865771861964943
11112.513272741437 1514821 1467992 0.031401799579481325 1467992 75574 2.9665384508792036
11112.958747845176 1514786 1468013 0.03136438911967197 1468013 76983 2.948080446463497
11113.509958912611 1514565 1467805 0.03136018143745106 1467805 78633 2.926731907911629
11113.949497842443 1514696 1467969 0.03133494595726048 1467969 80846 2.899088981321246
11114.500144548867 1514605 1467911 0.03131437724231996 1467911 84325 2.856917199685877
11114.94645859889 1514586 1467844 0.031347476774670174 1467844 88976 2.803183266052539
11115.47445662229 1513927 1467311 0.03127546324220221 1467311 94916 2.738194463018571
11115.96235022071 1513951 1467317 0.031287226824164335 1467317 101961 2.6666004548248203
11116.477063856799 1513908 1467269 0.03129153721902819 1467269 108689 2.602667535695382
11116.971076076146 1514027 1467412 0.0312726834161053 1467412 114663 2.549258192525938
11117.460448670608 1514008 1467434 0.031245141754752275 1467434 118589 2.515606842717583
11117.973301502134 1514014 1467379 0.0312865858311966 1467379 120381 2.500571382038318
11118.436653156159 1513915 1467360 0.031234142942273436 1467360 120417 2.5002594278898433
11118.971031738574 1513297 1466785 0.031217783466673366 1466785 119528 2.507277556253038
11119.42777461099 1513279 1466936 0.031102947896266383 1466936 118412 2.5167610820772306
11119.963594340528 1513310 1466902 0.03114661083397128 1466902 117265 2.526471641998703
11120.435831092696 1513612 1467147 0.031179148762755928 1467147 116017 2.537338245528976
11120.973764170107 1513553 1467128 0.03115311878471858 1467128 115203 2.5443662376443585
11121.4373823701 1513720 1467225 0.03119733572347381 1467225 114801 2.5479279459665642
11121.964697640076 1513643 1467235 0.03113965080548495 1467235 114745 2.5484226811729322
11122.43041426216 1513110 1466872 0.031034892945044874 1466872 115043 2.5455815499204903
11122.944426029184 1513215 1466973 0.031035432411753994 1466973 115366 2.542846689785825
11123.408889583008 1513123 1466909 0.031018261061137205 1466909 115608 2.5407075868664184
11123.927689948003 1513003 1466800 0.03101326040481731 1466800 115685 2.5399674560375254
11124.420396945605 1513059 1466818 0.03103800066793929 1466818 115538 2.541251227552751
11124.919854902346 1512990 1466781 0.03101762163578703 1466781 115264 2.543600333191909
11125.424724728495 1512991 1466726 0.031055780358434985 1466726 114966 2.5461515524898175
11125.898797018594 1512353 1466283 0.03093608899080785 1466283 114654 2.5485670086209926
11126.417174263332 1512467 1466340 0.030972592327045495 1466340 114322 2.5515057509379577
11126.854448385033 1512421 1466389 0.030908762002455074 1466389 114021 2.55417555317734
11127.40511712525 1512364 1466396 0.030866299753727303 1466396 113756 2.55650716506037
11127.847840561732 1511942 1465958 0.030885963565252354 1465958 113489 2.5585583167249006
11128.404652109582 1512205 1466262 0.030852545482232416 1466262 113330 2.5601676673325606
11128.858195507175 1512215 1466220 0.030887802997501358 1466220 113264 2.56072156236848
11129.37619561412 1511963 1466041 0.030843236227225308 1466041 113382 2.559558200777408
11129.86270622894 1511961 1466090 0.030808490652199684 1466090 113814 2.5557887351311823
11130.355302454609 1511950 1466113 0.030785527442444435 1466113 114598 2.5489396078458104
11130.862040505639 1511990 1466148 0.030788110630471648 1466148 115756 2.538909304854478
11131.333921593638 1511481 1465735 0.03073314172290658 1465735 117126 2.526861823714178
11131.849481948137 1511624 1465844 0.030753383786506425 1465844 118619 2.5142697886855063
11132.330851801393 1511730 1465957 0.03074641886303622 1465957 120108 2.501872212477213
11132.863968641755 1512122 1466381 0.03071650177477915 1466381 121228 2.4928796694845023
11133.312527215554 1512130 1466343 0.030747706813243406 1466343 121995 2.4865467647793973
11133.870593208921 1512105 1466308 0.030755042895186973 1466308 122411 2.4831187205563126
