XDAC V1.4 Datafile V1
"Fe_trilayer.002" created on 6/27/11 at 2:22:40 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 7112.00
NUM_REGIONS= 4
SRB= -200 -20 30 60 13k
SRSS= 10 0.25 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 103.00 58.00 0.00 0.00 0.00 0.00 24.00 17.00 50.00 3391.00 10.00 10.00 8.00 19.00 89.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 9.00 1.00
Fe edge of Daniel's KCo hexacyanoferrate/KNi hexacyanochromate/KCo trilayer
N2 in I0, Vortex

--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    7108.75070     4436.0000     3743.0000      325.0000      248.0000      226.0000      197.0000     9896.0000    10479.0000    10694.0000     8412.0000     9946.0000    10515.0000    10747.0000    10151.0000    17884.0000        1.0000
    7108.99779     4434.0000     3741.0000      327.0000      244.0000      248.0000      213.0000     9893.0000    10283.0000    10696.0000     8477.0000     9954.0000    10325.0000    10754.0000    10130.0000    17868.0000        1.0000
    7109.24956     4436.0000     3743.0000      299.0000      238.0000      288.0000      195.0000    10149.0000    10466.0000    10552.0000     8542.0000    10200.0000    10499.0000    10625.0000    10229.0000    17877.0000        1.0000
    7109.50134     4436.0000     3743.0000      279.0000      228.0000      266.0000      214.0000    10334.0000    10323.0000    10763.0000     8917.0000    10380.0000    10352.0000    10831.0000    10191.0000    17878.0000        1.0000
    7109.74846     4436.0000     3744.0000      337.0000      220.0000      247.0000      201.0000     9965.0000    10433.0000    10695.0000     8434.0000    10028.0000    10465.0000    10763.0000    10289.0000    17878.0000        1.0000
    7110.00026     4435.0000     3743.0000      305.0000      251.0000      254.0000      206.0000    10275.0000    10456.0000    10614.0000     8292.0000    10331.0000    10493.0000    10668.0000    10359.0000    17865.0000        1.0000
    7110.25207     4405.0000     3717.0000      332.0000      231.0000      238.0000      223.0000    10075.0000    10385.0000    10671.0000     9890.0000    10099.0000    10419.0000    10707.0000    10066.0000    17743.0000        1.0000
    7110.49922     4433.0000     3743.0000      308.0000      239.0000      276.0000      237.0000    10101.0000    10480.0000    10668.0000    12104.0000    10139.0000    10494.0000    10655.0000    10393.0000    17853.0000        1.0000
    7110.75105     4438.0000     3746.0000      279.0000      237.0000      281.0000      229.0000     9899.0000    10334.0000    10699.0000    11880.0000     9936.0000    10364.0000    10707.0000    10201.0000    17870.0000        1.0000
    7110.99823     4438.0000     3747.0000      281.0000      257.0000      260.0000      210.0000    10030.0000    10538.0000    10780.0000    12131.0000    10060.0000    10561.0000    10788.0000    10312.0000    17867.0000        1.0000
    7111.25008     4437.0000     3747.0000      353.0000      253.0000      285.0000      199.0000    10258.0000    10481.0000    10775.0000    11833.0000    10298.0000    10495.0000    10774.0000    10074.0000    17855.0000        1.0000
    7111.50194     4438.0000     3748.0000      331.0000      251.0000      264.0000      218.0000    10064.0000    10505.0000    10832.0000    12093.0000    10102.0000    10530.0000    10847.0000    10260.0000    17854.0000        1.0000
    7111.74914     4439.0000     3749.0000      330.0000      257.0000      266.0000      224.0000     9931.0000    10524.0000    10810.0000    11827.0000     9965.0000    10559.0000    10813.0000    10117.0000    17851.0000        1.0000
    7112.00102     4438.0000     3749.0000      313.0000      260.0000      267.0000      244.0000    10233.0000    10394.0000    10906.0000    11410.0000    10278.0000    10428.0000    10907.0000    10233.0000    17843.0000        1.0000
    7112.24825     4440.0000     3751.0000      337.0000      246.0000      273.0000      221.0000    10017.0000    10505.0000    10837.0000    10212.0000    10054.0000    10533.0000    10860.0000    10183.0000    17837.0000        1.0000
    7112.50015     4436.0000     3748.0000      319.0000      246.0000      251.0000      209.0000    10002.0000    10461.0000    10756.0000     9086.0000    10039.0000    10506.0000    10813.0000    10192.0000    17816.0000        1.0000
    7112.75206     4436.0000     3747.0000      346.0000      262.0000      261.0000      232.0000    10141.0000    10579.0000    10626.0000     8765.0000    10195.0000    10614.0000    10691.0000    10223.0000    17807.0000        1.0000
    7112.99931     4437.0000     3749.0000      328.0000      258.0000      287.0000      193.0000    10150.0000    10566.0000    10794.0000     8760.0000    10199.0000    10608.0000    10841.0000    10303.0000    17799.0000        1.0000
    7113.25125     4440.0000     3752.0000      327.0000      245.0000      256.0000      243.0000    10213.0000    10373.0000    10621.0000     9220.0000    10258.0000    10401.0000    10676.0000    10435.0000    17802.0000        1.0000
    7113.49852     4440.0000     3753.0000      313.0000      260.0000      297.0000      222.0000    10084.0000    10559.0000    10848.0000     9218.0000    10121.0000    10604.0000    10911.0000    10214.0000    17781.0000        1.0000
    7113.75047     4439.0000     3752.0000      355.0000      267.0000      270.0000      241.0000    10051.0000    10635.0000    10656.0000     8443.0000    10107.0000    10674.0000    10719.0000    10264.0000    17759.0000        1.0000
